increase_frequency:5000,first_frequency:5,last_frequency:100
frequency,transmission_ep,receiving_ep
5kHz,,
5,0.07,0
5,0.02,0
5,0.01,0
5,0,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.03,0
5,0,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.02,0
5,0,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0,0
5,0.03,0
5,0,0
5,0.01,0
5,0.02,0
5,0,0
5,0,0
5,0.02,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0,0
5,0,0
5,0.01,0
5,0,0
5,0.01,0
5,0.01,0
5,0.01,0
5,0,0
10.0kHz,,
10,0.07,0
10,0.09,0
10,0.14,0
10,0.17,0
10,0.11,0
10,0.08,0
10,0.12,0
10,0.14,0
10,0.1,0
10,0.06,0
10,0.12,0
10,0.16,0
10,0.12,0
10,0.09,0
10,0.11,0
10,0.17,0
10,0.12,0
10,0.09,0
10,0.09,0
10,0.14,0
10,0.13,0
10,0.08,0
10,0.04,0
10,0.14,0
10,0.15,0
10,0.08,0
10,0.1,0
10,0.14,0
10,0.17,0
10,0.1,0.01
10,0.08,0
10,0.12,0
10,0.14,0
10,0.11,0
10,0.06,0
10,0.11,0
10,0.15,0
10,0.12,0
10,0.08,0
10,0.11,0
10,0.17,0
10,0.13,0
10,0.09,0
10,0.09,0
10,0.14,0
10,0.13,0
10,0.08,0
10,0.07,0
10,0.14,0
10,0.15,0
10,0.09,0
10,0.09,0
10,0.13,0
10,0.17,0
10,0.11,0
10,0.08,0
10,0.12,0
10,0.14,0
10,0.11,0
10,0.06,0
15.0kHz,,
15,0.12,0.01
15,0.04,0.01
15,0.01,0.01
15,0.1,0.01
15,0.07,0.01
15,0.03,0.02
15,0.1,0.01
15,0.04,0.01
15,0,0.01
15,0.09,0.01
15,0.09,0.01
15,0.03,0.01
15,0.08,0.01
15,0.06,0.01
15,0.01,0.01
15,0.09,0.01
15,0.1,0.01
15,0.02,0.01
15,0.07,0.01
15,0,0.01
15,0.02,0.01
15,0.01,0.01
15,0.1,0.01
15,0.06,0.01
15,0.05,0.01
15,0.12,0.01
15,0.04,0.01
15,0,0.01
15,0.11,0.01
15,0.07,0
15,0.03,0.01
15,0.1,0.01
15,0.05,0.01
15,0,0
15,0.1,0.01
15,0.09,0.01
15,0.03,0.01
15,0.08,0.01
15,0.07,0.01
15,0.01,0.01
15,0.08,0.01
15,0.1,0.01
15,0.02,0.01
15,0.05,0.01
15,0,0.01
15,0.02,0.01
15,0,0.01
15,0.11,0.01
15,0.06,0.01
15,0.04,0.01
15,0.11,0.01
15,0.03,0.01
15,0,0.01
15,0.1,0
15,0.07,0.01
15,0.02,0.01
15,0.09,0.01
15,0.06,0.01
15,0,0.01
15,0.1,0.01
20.0kHz,,
20,0.07,0
20,0.11,0
20,0.09,0
20,0.05,0
20,0.14,0
20,0.06,0
20,0.09,0
20,0.1,0
20,0.09,0
20,0.14,0
20,0.05,0
20,0.13,0
20,0.12,0
20,0.09,0
20,0.05,0.02
20,0.05,0
20,0.13,0
20,0.13,0
20,0.06,0
20,0.12,0
20,0.06,0
20,0.12,0
20,0.07,0
20,0.05,0
20,0.14,0
20,0.06,0
20,0.11,0
20,0.08,0
20,0.06,0
20,0.14,0
20,0.06,0
20,0.08,0
20,0.1,0
20,0.09,0
20,0.15,0
20,0.06,0
20,0.13,0
20,0.12,0
20,0.07,0
20,0.12,0
20,0.06,0
20,0.12,0
20,0.14,0
20,0.06,0
20,0.12,0
20,0.07,0
20,0.12,0
20,0.08,0
20,0.05,0
20,0.14,0
20,0.06,0.03
20,0.1,0
20,0.1,0
20,0.09,0
20,0.14,0
20,0.06,0
20,0.09,0
20,0.11,0
20,0.09,0
20,0.15,0
25.0kHz,,
25,0.49,0.12
25,0.49,0.13
25,0.46,0.13
25,0.48,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
25,0.48,0.13
25,0.49,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
25,0.51,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
25,0.51,0.13
25,0.51,0.13
25,0.49,0.13
25,0.5,0.13
25,0.5,0.13
25,0.5,0.13
25,0.55,0.13
25,0.49,0.13
25,0.5,0.13
25,0.5,0.13
25,0.5,0.13
25,0.56,0.13
25,0.5,0.09
25,0.5,0.13
25,0.5,0.1
25,0.5,0.13
25,0.53,0.14
25,0.49,0.13
25,0.49,0.14
25,0.5,0.13
25,0.5,0.13
25,0.46,0.13
25,0.48,0.13
25,0.49,0.13
25,0.5,0.13
25,0.5,0.13
25,0.43,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
25,0.5,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
25,0.49,0.13
25,0.5,0.13
25,0.55,0.13
25,0.48,0.13
25,0.49,0.13
25,0.5,0.13
25,0.5,0.13
25,0.49,0.13
25,0.49,0.13
25,0.5,0.13
30.0kHz,,
30,0.04,0.02
30,0.1,0
30,0.05,0
30,0.06,0
30,0.08,0
30,0.03,0
30,0.11,0
30,0.04,0
30,0.09,0
30,0.05,0
30,0.06,0
30,0.09,0
30,0.04,0
30,0.1,0
30,0.03,0
30,0.09,0
30,0.04,0
30,0.04,0
30,0.02,0
30,0.1,0
30,0.05,0
30,0.07,0
30,0.07,0
30,0.04,0
30,0.1,0
30,0.03,0
30,0.1,0
30,0.04,0
30,0.06,0
30,0.08,0
30,0.03,0
30,0.11,0
30,0.04,0
30,0.09,0
30,0.05,0
30,0.07,0
30,0.08,0
30,0.04,0
30,0.1,0
30,0.03,0
30,0.09,0
30,0.05,0
30,0,0
30,0.02,0
30,0.11,0
30,0.05,0
30,0.07,0
30,0.07,0
30,0.03,0
30,0.1,0
30,0.02,0
30,0.1,0
30,0.05,0
30,0.07,0
30,0.07,0
30,0.03,0
30,0.11,0
30,0.03,0
30,0.09,0
30,0.05,0
35.0kHz,,
35,0.55,0.21
35,0.68,0.22
35,0.81,0.2
35,0.58,0.22
35,0.7,0.22
35,0.8,0.25
35,0.6,0.22
35,0.63,0.22
35,0.83,0.22
35,0.65,0.22
35,0.61,0.22
35,0.81,0.22
35,0.64,0.22
35,0.61,0.22
35,0.8,0.22
35,0.68,0.22
35,0.56,0.22
35,0.79,0.22
35,0.77,0.22
35,0.75,0.22
35,0.77,0.22
35,0.74,0.22
35,0.56,0.22
35,0.73,0.22
35,0.79,0.22
35,0.56,0.22
35,0.67,0.22
35,0.73,0.25
35,0.59,0.22
35,0.69,0.22
35,0.81,0.26
35,0.61,0.22
35,0.62,0.22
35,0.83,0.22
35,0.67,0.22
35,0.56,0.22
35,0.8,0.22
35,0.65,0.22
35,0.59,0.22
35,0.79,0.22
35,0.71,0.22
35,0.56,0.22
35,0.76,0.22
35,0.76,0.22
35,0.73,0.22
35,0.76,0.22
35,0.76,0.22
35,0.56,0.22
35,0.72,0.22
35,0.81,0.2
35,0.57,0.22
35,0.64,0.22
35,0.71,0.28
35,0.6,0.22
35,0.67,0.22
35,0.82,0.24
35,0.64,0.22
35,0.61,0.22
35,0.84,0.22
35,0.69,0.22
40.0kHz,,
40,0.77,0.21
40,0.72,0.23
40,0.8,0.23
40,0.79,0.23
40,0.83,0.24
40,0.88,0.23
40,1.05,0.23
40,0.88,0.23
40,0.87,0.23
40,0.82,0.22
40,0.84,0.23
40,0.77,0.23
40,0.71,0.23
40,0.65,0.23
40,0.74,0.23
40,0.73,0.23
40,0.82,0.23
40,0.83,0.23
40,0.87,0.23
40,0.91,0.23
40,0.87,0.23
40,0.87,0.23
40,0.83,0.23
40,0.77,0.23
40,0.82,0.23
40,0.73,0.23
40,0.73,0.23
40,0.75,0.24
40,0.78,0.23
40,0.81,0.23
40,0.88,0.23
40,0.86,0.23
40,0.89,0.23
40,0.88,0.23
40,0.85,0.23
40,0.84,0.23
40,0.79,0.25
40,0.74,0.23
40,0.64,0.23
40,0.74,0.23
40,0.75,0.19
40,0.81,0.23
40,0.81,0.23
40,0.87,0.23
40,0.91,0.23
40,0.93,0.22
40,0.88,0.23
40,0.84,0.23
40,0.79,0.23
40,0.79,0.25
40,0.75,0.23
40,0.71,0.23
40,0.74,0.23
40,0.76,0.23
40,0.8,0.23
40,0.87,0.23
40,0.86,0.23
40,0.89,0.23
40,0.88,0.22
40,0.83,0.23
45.0kHz,,
45,0.5,0.07
45,0.43,0.06
45,0.33,0.05
45,0.48,0.06
45,0.5,0.05
45,0.44,0.06
45,0.49,0.06
45,0.43,0.06
45,0.43,0.06
45,0.49,0.07
45,0.5,0.06
45,0.49,0.06
45,0.47,0.06
45,0.46,0.06
45,0.45,0.06
45,0.5,0.06
45,0.48,0.06
45,0.51,0.06
45,0.46,0.06
45,0.44,0.07
45,0.44,0.06
45,0.47,0.06
45,0.47,0.06
45,0.46,0.06
45,0.5,0.06
45,0.44,0.06
45,0.45,0.06
45,0.52,0.05
45,0.46,0.06
45,0.48,0.06
45,0.46,0.06
45,0.47,0.06
45,0.43,0.06
45,0.42,0.06
45,0.5,0.06
45,0.5,0.07
45,0.59,0.05
45,0.47,0.06
45,0.49,0.05
45,0.43,0.06
45,0.48,0.06
45,0.47,0.06
45,0.47,0.06
45,0.47,0.06
45,0.44,0.06
45,0.48,0.06
45,0.45,0.06
45,0.48,0.06
45,0.49,0.06
45,0.51,0.05
45,0.42,0.06
45,0.45,0.06
45,0.48,0.06
45,0.49,0.06
45,0.47,0.06
45,0.46,0.06
45,0.46,0.06
45,0.45,0.06
45,0.41,0.06
45,0.51,0.06
50.0kHz,,
50,0.16,0.02
50,0.14,0
50,0.29,0
50,0.12,0
50,0.17,0
50,0.13,0
50,0.14,0
50,0.29,0
50,0.13,0
50,0.16,0
50,0.14,0
50,0.14,0
50,0.24,0
50,0.11,0
50,0.15,0
50,0.16,0
50,0.15,0
50,0.26,0
50,0.12,0
50,0.16,0
50,0.14,0
50,0.14,0
50,0.26,0
50,0.12,0
50,0.17,0
50,0.14,0
50,0.16,0
50,0.28,0
50,0.12,0
50,0.17,0
50,0.15,0
50,0.15,0
50,0.28,0
50,0.11,0
50,0.16,0
50,0.14,0.01
50,0.14,0.01
50,0.28,0
50,0.12,0
50,0.13,0
50,0.14,0
50,0.14,0
50,0.28,0
50,0.11,0
50,0.16,0
50,0.14,0
50,0.14,0
50,0.27,0
50,0.13,0
50,0.13,0
50,0.14,0
50,0.14,0
50,0.26,0
50,0.12,0
50,0.16,0
50,0.14,0
50,0.14,0
50,0.1,0
50,0.12,0
50,0.16,0
55.0kHz,,
55,0,0.01
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
55,0,0
60.0kHz,,
60,0.16,0
60,0.19,0.01
60,0.17,0.01
60,0.16,0.01
60,0.17,0.02
60,0.16,0.02
60,0.17,0.01
60,0.19,0.01
60,0.19,0.01
60,0.34,0.01
60,0.18,0.01
60,0.16,0.01
60,0.16,0.02
60,0.17,0.01
60,0.2,0.01
60,0.22,0.01
60,0.22,0.01
60,0.22,0.01
60,0.22,0.05
60,0.21,0.01
60,0.19,0.02
60,0.18,0.01
60,0.15,0.01
60,0.25,0.02
60,0.22,0.03
60,0.21,0.01
60,0.2,0.01
60,0.19,0.01
60,0.24,0.02
60,0.16,0.01
60,0.16,0.01
60,0.17,0.01
60,0.18,0.01
60,0.19,0.02
60,0.3,0.01
60,0.13,0.01
60,0.17,0.02
60,0.16,0.02
60,0.18,0.02
60,0.2,0.01
60,0.2,0.01
60,0.22,0.01
60,0.22,0
60,0.24,0.01
60,0.22,0.02
60,0.2,0.01
60,0.19,0.01
60,0.04,0.01
60,0.18,0.01
60,0.23,0.01
60,0.21,0.02
60,0.21,0.02
60,0.2,0.01
60,0.18,0.02
60,0.17,0
60,0.16,0.01
60,0.17,0.02
60,0.17,0.02
60,0.18,0.02
60,0.19,0.01
65.0kHz,,
65,0.43,0.01
65,0.37,0.02
65,0.34,0.01
65,0.34,0.02
65,0.34,0.01
65,0.35,0.01
65,0.37,0.01
65,0.38,0.03
65,0.39,0.02
65,0.41,0.02
65,0.42,0.01
65,0.45,0.03
65,0.18,0.02
65,0.39,0.01
65,0.41,0.01
65,0.43,0.01
65,0.43,0.01
65,0.42,0.02
65,0.41,0.01
65,0.39,0.02
65,0.38,0.01
65,0.37,0.02
65,0.33,0.01
65,0.31,0.01
65,0.45,0.01
65,0.38,0.01
65,0.36,0.02
65,0.35,0.01
65,0.35,0.02
65,0.34,0.01
65,0.35,0
65,0.37,0.01
65,0.38,0.01
65,0.39,0.01
65,0.43,0
65,0.41,0.01
65,0.36,0.01
65,0.2,0.02
65,0.4,0.02
65,0.42,0.02
65,0.43,0.01
65,0.43,0.01
65,0.42,0.02
65,0.41,0.01
65,0.39,0.01
65,0.38,0.03
65,0.36,0.01
65,0.35,0.02
65,0.36,0.02
65,0.38,0.01
65,0.38,0.02
65,0.36,0.02
65,0.35,0.01
65,0.34,0.01
65,0.34,0.01
65,0.35,0.02
65,0.37,0.02
65,0.39,0.02
65,0.41,0.02
65,0.43,0.01
70.0kHz,,
70,0.74,0.04
70,0.73,0.04
70,0.78,0.04
70,0.85,0.04
70,0.8,0.05
70,0.83,0.04
70,0.79,0.04
70,0.72,0.04
70,0.76,0.04
70,0.73,0.04
70,0.77,0.05
70,0.82,0.04
70,0.72,0.04
70,0.83,0.06
70,0.8,0.04
70,0.74,0.04
70,0.95,0.04
70,0.73,0.04
70,0.75,0.05
70,0.8,0.04
70,0.75,0.04
70,0.82,0.06
70,0.82,0.04
70,0.76,0.04
70,0.73,0.04
70,0.74,0.04
70,0.73,0.04
70,0.79,0.05
70,0.86,0.04
70,0.81,0.04
70,0.83,0.04
70,0.78,0.04
70,0.74,0.02
70,0.75,0.04
70,0.73,0.04
70,0.78,0.05
70,0.83,0.04
70,0.89,0.04
70,0.83,0.02
70,0.79,0.04
70,0.72,0.04
70,0.93,0.04
70,0.72,0.04
70,0.75,0.05
70,0.82,0.04
70,0.74,0.04
70,0.82,0.07
70,0.82,0.04
70,0.76,0.04
70,0.73,0.03
70,0.74,0.04
70,0.73,0.05
70,0.78,0.05
70,0.8,0.04
70,0.81,0.04
70,0.83,0.04
70,0.78,0.04
70,0.75,0.04
70,0.75,0.04
70,0.73,0.04
75.0kHz,,
75,1.19,0.24
75,1.18,0.24
75,1.12,0.24
75,1.27,0.27
75,1.08,0.24
75,1.15,0.23
75,1.19,0.24
75,1.13,0.23
75,1.26,0.24
75,1.09,0.24
75,1.21,0.24
75,1.19,0.24
75,1.13,0.22
75,1.28,0.24
75,1.08,0.26
75,1.23,0.24
75,1.19,0.26
75,1.11,0.24
75,1.28,0.23
75,1.09,0.24
75,1.23,0.24
75,1.19,0.24
75,1.11,0.24
75,1.25,0.26
75,1.09,0.24
75,1.15,0.22
75,1.18,0.24
75,1.11,0.26
75,1.21,0.24
75,1.09,0.24
75,1.17,0.24
75,1.19,0.23
75,1.12,0.24
75,1.2,0.24
75,1.08,0.24
75,1.11,0.24
75,1.2,0.22
75,1.12,0.24
75,1.19,0.23
75,1.09,0.24
75,1.18,0.26
75,1.19,0.24
75,1.12,0.24
75,1.2,0.24
75,1.09,0.24
75,1.22,0.24
75,1.19,0.24
75,1.11,0.26
75,1.15,0.24
75,1.08,0.22
75,1.21,0.24
75,1.18,0.25
75,1.1,0.24
75,1.1,0.24
75,1.09,0.23
75,1.12,0.23
75,1.19,0.24
75,1.1,0.24
75,1.09,0.23
75,1.09,0.24
80.0kHz,,
80,1.48,0.35
80,1.55,0.35
80,1.44,0.35
80,1.52,0.36
80,1.41,0.35
80,1.36,0.36
80,1.54,0.35
80,1.5,0.37
80,1.53,0.35
80,1.41,0.35
80,1.49,0.34
80,1.43,0.34
80,1.36,0.35
80,1.52,0.35
80,1.51,0.35
80,1.35,0.35
80,1.38,0.41
80,1.33,0.35
80,1.45,0.35
80,1.36,0.35
80,1.47,0.34
80,1.51,0.34
80,1.37,0.35
80,1.37,0.35
80,1.42,0.34
80,1.47,0.35
80,1.43,0.35
80,1.44,0.34
80,1.5,0.35
80,1.41,0.34
80,1.37,0.33
80,1.51,0.34
80,1.5,0.38
80,1.55,0.34
80,1.41,0.3
80,1.49,0.34
80,1.42,0.34
80,1.36,0.34
80,1.46,0.34
80,1.51,0.34
80,1.45,0.34
80,1.39,0.36
80,1.39,0.34
80,1.44,0.32
80,1.37,0.34
80,1.47,0.34
80,1.51,0.34
80,1.43,0.34
80,1.37,0.35
80,1.4,0.34
80,1.47,0.33
80,1.39,0.34
80,1.46,0.34
80,1.51,0.34
80,1.41,0.34
80,1.36,0.34
80,1.46,0.34
80,1.5,0.35
80,1.6,0.34
80,1.41,0.3
85.0kHz,,
85,1.58,0.36
85,1.54,0.39
85,1.7,0.39
85,1.55,0.36
85,1.59,0.39
85,1.71,0.38
85,1.78,0.36
85,1.69,0.38
85,1.67,0.37
85,1.53,0.38
85,1.71,0.37
85,1.63,0.38
85,1.52,0.39
85,1.74,0.38
85,1.53,0.36
85,1.58,0.38
85,1.72,0.37
85,1.63,0.43
85,1.63,0.38
85,1.71,0.38
85,1.53,0.47
85,1.64,0.38
85,1.63,0.38
85,1.51,0.35
85,1.52,0.38
85,1.6,0.39
85,1.55,0.36
85,1.71,0.39
85,1.57,0.39
85,1.61,0.36
85,1.71,0.39
85,1.73,0.39
85,1.65,0.4
85,1.67,0.39
85,1.52,0.38
85,1.59,0.39
85,1.61,0.39
85,1.53,0.34
85,1.72,0.39
85,1.6,0.38
85,1.6,0.39
85,1.72,0.39
85,1.71,0.39
85,1.67,0.45
85,1.69,0.38
85,1.54,0.39
85,1.62,0.44
85,1.63,0.39
85,1.53,0.39
85,1.51,0.43
85,1.58,0.39
85,1.55,0.39
85,1.72,0.34
85,1.68,0.39
85,1.64,0.39
85,1.71,0.36
85,1.63,0.39
85,1.72,0.39
85,1.67,0.39
85,1.52,0.38
90.0kHz,,
90,1.59,0.4
90,1.51,0.43
90,1.58,0.41
90,1.62,0.39
90,1.48,0.39
90,1.69,0.39
90,1.45,0.39
90,1.56,0.4
90,1.58,0.4
90,1.64,0.39
90,1.51,0.38
90,1.52,0.39
90,1.63,0.39
90,1.45,0.4
90,1.68,0.41
90,1.46,0.39
90,1.43,0.4
90,1.52,0.34
90,1.66,0.37
90,1.57,0.4
90,1.51,0.39
90,1.66,0.42
90,1.44,0.41
90,1.67,0.39
90,1.67,0.4
90,1.6,0.39
90,1.44,0.41
90,1.57,0.4
90,1.58,0.39
90,1.49,0.38
90,1.68,0.38
90,1.44,0.4
90,1.71,0.4
90,1.66,0.41
90,1.69,0.44
90,1.53,0.4
90,1.56,0.4
90,1.63,0.39
90,1.46,0.37
90,1.68,0.4
90,1.46,0.4
90,1.43,0.34
90,1.49,0.41
90,1.61,0.39
90,1.53,0.4
90,1.52,0.41
90,1.64,0.41
90,1.45,0.4
90,1.69,0.4
90,1.57,0.33
90,1.57,0.37
90,1.53,0.4
90,1.63,0.4
90,1.59,0.4
90,1.5,0.43
90,1.67,0.4
90,1.45,0.4
90,1.69,0.38
90,1.6,0.38
90,1.61,0.4
95.0kHz,,
95,1.46,0.42
95,1.45,0.45
95,1.4,0.44
95,1.49,0.43
95,1.33,0.44
95,1.54,0.44
95,1.3,0.49
95,1.48,0.41
95,1.39,0.45
95,1.5,0.44
95,1.5,0.44
95,1.5,0.44
95,1.4,0.46
95,1.62,0.5
95,1.3,0.43
95,1.63,0.44
95,1.29,0.44
95,1.62,0.44
95,1.32,0.44
95,1.59,0.5
95,1.34,0.44
95,1.56,0.44
95,1.4,0.45
95,1.52,0.44
95,1.42,0.44
95,1.47,0.46
95,1.51,0.55
95,1.43,0.42
95,1.56,0.44
95,1.4,0.44
95,1.6,0.44
95,1.44,0.44
95,1.58,0.44
95,1.53,0.48
95,1.35,0.43
95,1.5,0.45
95,1.68,0.44
95,1.3,0.44
95,1.63,0.43
95,1.3,0.53
95,1.63,0.43
95,1.31,0.43
95,1.61,0.44
95,1.35,0.44
95,1.58,0.44
95,1.37,0.44
95,1.54,0.48
95,1.43,0.43
95,1.49,0.45
95,1.46,0.44
95,1.44,0.45
95,1.55,0.45
95,1.38,0.48
95,1.55,0.45
95,1.38,0.44
95,1.62,0.45
95,1.48,0.44
95,1.52,0.44
95,1.59,0.45
95,1.54,0.47
100.0kHz,,
100,1.24,0.49
100,1.59,0.49
100,1.19,0.49
100,1.34,0.49
100,1.52,0.49
100,1.33,0.49
100,1.59,0.48
100,1.2,0.48
100,1.37,0.48
100,1.49,0.59
100,1.4,0.56
100,1.6,0.53
100,1.2,0.47
100,1.35,0.47
100,1.48,0.47
100,1.35,0.48
100,1.6,0.48
100,1.21,0.48
100,1.33,0.49
100,1.55,0.49
100,1.31,0.49
100,1.6,0.49
100,1.23,0.49
100,1.33,0.49
100,1.59,0.49
100,1.33,0.49
100,1.6,0.5
100,1.23,0.55
100,1.33,0.57
100,1.58,0.55
100,1.34,0.51
100,1.6,0.48
100,1.24,0.48
100,1.33,0.48
100,1.52,0.49
100,1.35,0.49
100,1.62,0.5
100,1.23,0.5
100,1.35,0.5
100,1.55,0.5
100,1.35,0.5
100,1.6,0.5
100,1.24,0.5
100,1.35,0.49
100,1.54,0.52
100,1.35,0.57
100,1.61,0.61
100,1.24,0.58
100,1.35,0.55
100,1.51,0.5
100,1.34,0.5
100,1.61,0.48
100,1.24,0.48
100,1.34,0.49
100,1.5,0.49
100,1.33,0.49
100,1.61,0.49
100,1.24,0.49
100,1.3,0.49
100,1.59,0.49
stop,,
